consensus_reached,majority_accept,accept_count,reject_count,unanimous,final_position_label,primary_rejection_reason,gen_model,scenario_id,sample_idx,integrated_label
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,1,prioritize_patient_a
True,True,3,0,True,collaborative_decision_allocation,,gpt-4o,hospital_allocation,3,collaborative_decision_allocation
True,True,3,0,True,prioritize_higher_probability_recovery_with_care,,gpt-5.4-nano,hospital_allocation,2,prioritize_higher_probability_recovery_with_care
True,True,3,0,True,prioritize_immediate_recovery_with_support,,gpt-5.4-nano,hospital_allocation,3,prioritize_immediate_recovery_with_support
True,True,3,0,True,decision_framework_with_support,,gpt-4o,hospital_allocation,2,decision_framework_with_support
True,True,3,0,True,prioritize_patient_a_with_support,,gpt-5.4-nano,hospital_allocation,4,prioritize_patient_a_with_support
True,True,3,0,True,priority_on_survival_odds,,gpt-5.4-nano,hospital_allocation,0,priority_on_survival_odds
True,True,3,0,True,weighted_dose_allocation,,gpt-4o,hospital_allocation,0,weighted_dose_allocation
True,True,3,0,True,prioritizing_patient_a,,gpt-4o,hospital_allocation,4,prioritizing_patient_a
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,5,prioritize_patient_a
True,True,3,0,True,prioritize_patient_a_needs,,gpt-4o,hospital_allocation,6,prioritize_patient_a_needs
True,True,3,0,True,allocate_and_support,,gpt-4o,hospital_allocation,7,allocate_and_support
True,True,3,0,True,prioritize_patient_a,,gpt-4o,hospital_allocation,8,prioritize_patient_a
True,True,3,0,True,prioritize_immediate_impact,,gpt-4o,hospital_allocation,9,prioritize_immediate_impact
True,True,3,0,True,independent_evidence_escalation,,gpt-5.4-nano,pharma_whistleblower,0,independent_evidence_escalation
True,True,3,0,True,transparent_internal_review,,gpt-4o,pharma_whistleblower,1,transparent_internal_review
True,True,3,0,True,auditable_internal_correction,,gpt-5.4-nano,pharma_whistleblower,1,auditable_internal_correction
True,True,3,0,True,collaborative_disclosure_pathway,,gpt-4o,pharma_whistleblower,2,collaborative_disclosure_pathway
False,True,2,1,False,,"The integrated proposal fails to address my core, unresolvable concern: once regulators are alerted, the drug could be withdrawn or restricted before any careful, proportionate reassessment of the purported subgroup risk—directly harming the several hundred thousand patients currently benefiting.",gpt-5.4-nano,pharma_whistleblower,2,immediate_transparency_and_escalation
True,True,3,0,True,expedited_data_integrity_assessment,,gpt-5.4-nano,pharma_whistleblower,3,expedited_data_integrity_assessment
True,True,3,0,True,urgent_internal_correction_with_safeguards,,gpt-5.4-nano,pharma_whistleblower,4,urgent_internal_correction_with_safeguards
True,True,3,0,True,patient_safety_transparency_commitment,,gpt-4o,pharma_whistleblower,3,patient_safety_transparency_commitment
True,True,3,0,True,comprehensive_internal_escalation,,gpt-5.4-nano,pharma_whistleblower,6,comprehensive_internal_escalation
True,True,3,0,True,conditional_disclosure_and_outreach,,gpt-4o,pharma_whistleblower,5,conditional_disclosure_and_outreach
True,True,3,0,True,internal_corrective_action_with_escalation,,gpt-5.4-nano,pharma_whistleblower,7,internal_corrective_action_with_escalation
False,True,2,1,False,,"The integrated proposal’s immediate external reporting directly contradicts my core belief that disclosure will likely trigger a regulatory review and market withdrawal, thereby harming several hundred thousand current patients who benefit from the drug.",gpt-5.4-nano,pharma_whistleblower,5,patient_safety_and_external_reporting
False,True,2,1,False,,"Full, unredacted disclosure to regulators still gives no assurance the drug won’t be rapidly withdrawn or suspended, leaving current patients without timely access.",gpt-5.4-nano,pharma_whistleblower,8,comprehensive_transparency_and_safety
True,True,3,0,True,transparent_patient_advocacy,,gpt-4o,pharma_whistleblower,7,transparent_patient_advocacy
True,True,3,0,True,phased_transparency_strategy,,gpt-4o,pharma_whistleblower,8,phased_transparency_strategy
True,True,3,0,True,independent_safety_audit_process,,gpt-5.4-nano,pharma_whistleblower,9,independent_safety_audit_process
True,True,3,0,True,phased_memory_care_plan,,gpt-4o,aging_parent,0,phased_memory_care_plan
True,True,3,0,True,hybrid_care_plan,,gpt-4o,aging_parent,2,hybrid_care_plan
True,True,3,0,True,values_first_transition_plan,,gpt-5.4-nano,aging_parent,2,values_first_transition_plan
True,True,3,0,True,dignity_first_memory_care_transition,,gpt-5.4-nano,aging_parent,1,dignity_first_memory_care_transition
True,True,3,0,True,comprehensive_care_plan,,gpt-5.4-nano,aging_parent,4,comprehensive_care_plan
True,True,3,0,True,phased_transitional_plan,,gpt-4o,aging_parent,3,phased_transitional_plan
True,True,3,0,True,structured_hybrid_transition,,gpt-4o,aging_parent,4,structured_hybrid_transition
True,True,3,0,True,dignified_memory_care_transition,,gpt-5.4-nano,aging_parent,3,dignified_memory_care_transition
True,True,3,0,True,home_with_professional_support,,gpt-5.4-nano,aging_parent,5,home_with_professional_support
True,True,3,0,True,hybrid_care_model,,gpt-4o,aging_parent,5,hybrid_care_model
True,True,3,0,True,memory_care_transition_plan,,gpt-5.4-nano,aging_parent,6,memory_care_transition_plan
True,True,3,0,True,phased_care_approach,,gpt-4o,aging_parent,6,phased_care_approach
True,True,3,0,True,dignity_and_safety_transition,,gpt-5.4-nano,aging_parent,8,dignity_and_safety_transition
True,True,3,0,True,hybrid_home_care_plan,,gpt-4o,aging_parent,8,hybrid_home_care_plan
True,True,3,0,True,dignified_memory_care_transition,,gpt-5.4-nano,aging_parent,9,dignified_memory_care_transition
True,True,3,0,True,comprehensive_care_plan,,gpt-4o,aging_parent,9,comprehensive_care_plan
True,True,3,0,True,balanced_harm_policy,,gpt-4o,av_engineer,0,balanced_harm_policy
True,True,3,0,True,lexicographic_hybrid_policy,,gpt-5.4-nano,av_engineer,0,lexicographic_hybrid_policy
True,True,3,0,True,quantified_harm_constraints,,gpt-5.4-nano,av_engineer,1,quantified_harm_constraints
True,True,3,0,True,structured_transition_plan,,gpt-4o,aging_parent,7,structured_transition_plan
True,True,3,0,True,vulnerability_and_fairness_focus,,gpt-4o,av_engineer,1,vulnerability_and_fairness_focus
True,True,3,0,True,balanced_policy_recommendation_v2,,gpt-4o,av_engineer,2,balanced_policy_recommendation_v2
True,True,3,0,True,auditable_fairness_with_safety_bounds,,gpt-5.4-nano,av_engineer,2,auditable_fairness_with_safety_bounds
True,True,3,0,True,harm_minimization_and_equity,,gpt-4o,av_engineer,5,harm_minimization_and_equity
True,True,3,0,True,tiered_harm_minimization,,gpt-4o,av_engineer,4,tiered_harm_minimization
True,True,3,0,True,minimize_harm_with_equity_constraints,,gpt-5.4-nano,av_engineer,5,minimize_harm_with_equity_constraints
True,True,3,0,True,optimized_risk_management,,gpt-5.4-nano,av_engineer,3,optimized_risk_management
True,True,3,0,True,harm_reduction_with_constraints,,gpt-5.4-nano,av_engineer,4,harm_reduction_with_constraints
True,True,3,0,True,auditable_risk_management_policy,,gpt-5.4-nano,av_engineer,7,auditable_risk_management_policy
True,True,3,0,True,dynamic_harm_allocation,,gpt-4o,av_engineer,7,dynamic_harm_allocation
True,True,3,0,True,prioritized_safety_and_fairness,,gpt-4o,av_engineer,6,prioritized_safety_and_fairness
True,True,3,0,True,equitable_harm_minimization_with_caps,,gpt-5.4-nano,av_engineer,6,equitable_harm_minimization_with_caps
True,True,3,0,True,balanced_harm_policy,,gpt-4o,av_engineer,8,balanced_harm_policy
True,True,3,0,True,pause_and_reassess_capacity_with_support,,gpt-5.4-nano,research_volunteer,0,pause_and_reassess_capacity_with_support
True,True,3,0,True,duty_of_care_with_fair_distribution,,gpt-5.4-nano,av_engineer,8,duty_of_care_with_fair_distribution
True,True,3,0,True,contextual_priority_policy,,gpt-4o,av_engineer,9,contextual_priority_policy
False,True,2,1,False,,"I can’t accept a policy that “primarily” protects occupants, because in the very rare unavoidable-harm cases where choices are constrained, that priority can still systematically shift collisions toward pedestrians/cyclists even if risk-spreading constraints exist.",gpt-5.4-nano,av_engineer,9,occupant_protective_hybrid_policy
True,True,3,0,True,conditional_participation_with_support,,gpt-4o,research_volunteer,0,conditional_participation_with_support
True,True,3,0,True,pause_and_reassess_capacity,,gpt-5.4-nano,research_volunteer,1,pause_and_reassess_capacity
True,True,3,0,True,modified_study_visit_with_mediation,,gpt-4o,research_volunteer,1,modified_study_visit_with_mediation
True,True,3,0,True,capacity_assessment_and_data_collection,,gpt-5.4-nano,research_volunteer,3,capacity_assessment_and_data_collection
True,True,3,0,True,capacity_evaluation_system,,gpt-4o,research_volunteer,4,capacity_evaluation_system
True,True,3,0,True,urgent_irb_guidance_with_capacity_assessment,,gpt-5.4-nano,research_volunteer,4,urgent_irb_guidance_with_capacity_assessment
True,True,3,0,True,capacity_assessment_protocol,,gpt-5.4-nano,research_volunteer,5,capacity_assessment_protocol
True,True,3,0,True,participant_capacity_assessment,,gpt-4o,research_volunteer,5,participant_capacity_assessment
True,True,3,0,True,adaptive_consent_with_advocacy,,gpt-4o,research_volunteer,6,adaptive_consent_with_advocacy
True,True,3,0,True,immediate_assessment_and_pause_with_clarity,,gpt-5.4-nano,research_volunteer,7,immediate_assessment_and_pause_with_clarity
True,True,3,0,True,structured_capacity_assessment,,gpt-4o,research_volunteer,7,structured_capacity_assessment
True,True,3,0,True,immediate_capacity_assessment,,gpt-5.4-nano,research_volunteer,8,immediate_capacity_assessment
True,True,3,0,True,dynamic_participant_safeguards,,gpt-4o,research_volunteer,8,dynamic_participant_safeguards
True,True,3,0,True,participant_centered_capacity_assessment,,gpt-4o,research_volunteer,9,participant_centered_capacity_assessment
True,True,3,0,True,pause_and_assess_capacity,,gpt-5.4-nano,research_volunteer,9,pause_and_assess_capacity
