scenario_id,topic_group,dilemma_situation,action_to_do,action_not_to_do,values
dd_32489,business_organization,"You are a restaurant manager and a customer has complained about their meal being prepared improperly. However, your che",Siding with the customer,Upholding the chef's decision,"['responsibility', 'justice', 'humility', 'teamwork', 'trust']"
dd_38858,business_organization,You're at a networking event and meet a new person who is interested in your company. They mention they're considering a,Promoting your company's benefits,Not promoting your company's benefits,"['honesty', 'trust', 'cooperation', 'efficiency']"
dd_15585,business_organization,"You have been practicing sustainable living and have recently learned to cook your own food. One day, you notice your ne",Confronting the neighbor,Not confronting the neighbor,"['integrity', 'honesty', 'respect', 'cooperation', 'awareness']"
dd_33470,business_organization,A devastating hurricane has hit a coastal town and various organizations are asking for donations to help the victims. Y,Donating to a well-known organization with higher overhead costs,"Donating to a smaller, local group that might not be legitimate","['altruism', 'dignity', 'integrity']"
dd_20184,business_organization,"Sarah recently had a decent experience at a local restaurant, but she just didn't feel the vibe of the place. Her friend",Accept the invitation,Refuse the invitation,"['comfort', 'enjoyment', 'self', 'joy', 'companionship', 'understanding']"
dd_34930,business_organization,"Julia works in a large organization that hosts many events. A significant event is coming up, but Julia is unsure whethe",Inform colleagues,Keep the information to herself,"['honesty', 'respect', 'trust', 'transparency']"
dd_36686,close_relationship,You have been friends with someone for many years and have developed romantic feelings for them. You know they are in a ,Reveal feelings,Suppress feelings,"['honesty', 'courage', 'trust', 'understanding', 'respect', 'empathy', 'loyalty'"
dd_27668,close_relationship,"You've been seeing a therapist for months to get over your ex-partner. During your sessions, you discover that your ther",Continue therapy with the same therapist,Find a new therapist,"['partner', 'partner']"
dd_13874,close_relationship,John is living in a shared apartment where all roommates chip in for groceries. One of his roommates consistently eats a,Confront the roommate,Not confront the roommate,"['assertiveness', 'peace']"
dd_23534,close_relationship,"<""Your best friend since childhood has become increasingly negative and mean towards you. You want to cut them out of yo",Continue to support your friend,Cut your friend out of your life,"['selflessness', 'trust', 'empathy']"
dd_4744,close_relationship,"You've been friends with Jake for years and recently, his girlfriend, Emily, has been spending more time with you. You h",Confess your feelings to Emily,Not confess your feelings to Emily,"['honesty', 'courage', 'respect', 'understanding', 'trust', 'friendship']"
dd_14224,close_relationship,John is a fresh graduate who is struggling financially and desperately needs a job. He gets an offer from a tobacco comp,Accepting the job offer,Rejecting the job offer,"['financial stability', 'profit', 'financial security']"
dd_24774,comitted_relationship,"You and your partner have a strong, supportive relationship. However, your partner is struggling with addiction and want",Support partner's destructive behavior,Refuse to support partner's destructive behavior,"['compromise', 'dependency', 'disappointment', 'frustration']"
dd_4447,comitted_relationship,John has been in a relationship with Mary for several years. John finds himself constantly frustrated because Mary doesn,Confronting Mary,Not Confronting Mary,"['honesty', 'self', 'courage', 'understanding', 'patience', 'empathy', 'compassi"
dd_4829,comitted_relationship,"Emma and Alex are in a long-term, committed relationship. Emma is uncomfortable with Alex's close friendship with his ex",Ask Alex to cut ties,Not to ask Alex to cut ties,"['emotional security', 'autonomy', 'girlfriend']"
dd_20446,comitted_relationship,Alice has been single for a long time and yearns for a relationship. She meets Bob who is in an unhappy relationship and,Pursue a relationship with Bob,Not pursue a relationship with Bob,"['honesty', 'respect', 'trust']"
dd_34029,comitted_relationship,You and your significant other have different interests and hobbies. Your partner is passionate about animal rights and ,Continue participating despite lack of interest,Express your feelings honestly,"['sacrifice', 'patience', 'consideration', 'unity', 'empathy', 'understanding', "
dd_21165,comitted_relationship,You are in a committed relationship with your partner who is unaware of your past relationship. Your ex-partner starts s,Tell the current partner,Keep it to yourself,"['honesty', 'responsibility', 'trust', 'respect', 'partner']"
dd_46372,event_daily_life,"I've started to narrate my own life as if it were a work of fiction, in order to cope with my mundane routine. In my nar",Exposing Friend's Secret,Keeping Friend's Secret,"['betrayal', 'guilt', 'loss of trust']"
dd_1656,event_daily_life,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a rece",Use the case as inspiration,Respect their wishes and find a new plot,"['right to privacy', 'right to information']"
dd_40622,event_daily_life,"You have saved up money to buy a special gift for your loved one's birthday. However, you also found out that a close fr",Buy the Gift,Help the Friend,"['prudence', 'joy', 'disappointment']"
dd_28339,event_daily_life,Sarah is a single mother of a young boy who loves scary movies. Sarah is worried that the scary movie might cause nightm,Letting her son watch the scary movie,Not letting her son watch the scary movie,"['responsibility', 'concern', 'curiosity', 'fear', 'empathy', 'concern']"
dd_11786,event_daily_life,Your close friend has been working on a novel for years and has asked you to read it and give your honest opinion. You f,Telling the truth,Lying,"['honesty', 'respect', 'authenticity', 'trust']"
dd_23574,event_daily_life,"You've been saving money for months to buy a special Christmas gift for your family. However, you recently learned about",Donate to the needy family,Not donate to the needy family,"['altruism', 'gratitude', 'understanding', 'hope']"
dd_14707,event_special,"Sarah's family is planning to celebrate her birthday on a different day due to her mother's work schedule. However, Sara",Sarah tells her family about the surprise party,Sarah doesn't tell her family about the surprise party,"['honesty', 'open communication', 'consideration']"
dd_8015,event_special,You're out for dinner with your boss who insists on paying for your meal. You have always believed in paying for your ow,Insist on paying,Not insist on paying,"['assertiveness', 'respect for personal boundaries', 'understanding']"
dd_43621,event_special,You've planned a party but fall ill the day before it is scheduled. You have friends traveling from out of town specific,Proceed with the party,Cancel the party,"['enjoyment', 'health', 'safety']"
dd_43164,event_special,"Your friends have organized a surprise party for you, unaware that you dislike surprise gatherings. You appreciate their",Pretend to enjoy the party,Express your discomfort honestly,"['honesty', 'empathy', 'sensitivity', 'observance']"
dd_38395,event_special,"You have been attending a family funeral, but you made some inappropriate comments due to heavy alcohol consumption. You",Apologize without knowing details,Not apologize,"['honesty', 'responsibility', 'respect', 'dignity', 'unity', 'respect']"
dd_0893,event_special,"John, a florist, receives an order for a bouquet of dead flowers to be delivered to his ex-girlfriend. The order came fr",Fulfill the order,Refuse the order,['girlfriend']
dd_1057,family,"You are a single parent working two jobs to support your family. Your elderly neighbor, who lives alone and has mobility",Helping the neighbor,Not helping the neighbor,"['selflessness', 'dignity', 'sacrifice', 'trust']"
dd_18656,family,"John, Lisa, and their child's nanny, Maria, have always maintained open communication about the child's upbringing. Mari",Implementing her discipline methods,Not implementing her discipline methods,"['autonomy', 'respect', 'trust', 'communication']"
dd_42086,family,"A working couple with two kids is struggling financially. They want to buy a new computer for their kid's education, but",Buying the Computer,Not Buying the Computer,"['financial responsibility', 'trust']"
dd_42521,family,"In a society where everyone dislikes their parents due to their authoritarian parenting style. A young person, Jane, fin",Express positivity about parents,Pretend to dislike parents,"['honesty', 'love', 'tolerance', 'freedom of expression']"
dd_19532,family,"As a mother of a teenage daughter, Mrs. Smith is highly involved in her child's personal life. Mrs. Smith discovered her",Intervene,Not Intervene,"['love', 'responsibility', 'privacy', 'trust', 'expertise', 'support']"
dd_17455,family,"You are a single parent working multiple jobs to make ends meet. Your children have been invited to a birthday party, bu",Let children attend without a gift,Decline the invitation,"['honesty', 'courage', 'resilience', 'honesty', 'self', 'understanding', 'empath"
dd_33126,friend,You're hiking in the woods with a group of friends when you suddenly spot a bear. One friend sprains his ankle and canno,Leave friend behind,Stay with friend,"['self', 'fear', 'betrayal', 'fear', 'vulnerability', 'disappointment']"
dd_16120,friend,"You are organizing a weekend hiking trip. However, you intentionally not invite one of your friends because you know the",Invite the friend,Don't invite the friend,"['consideration', 'resilience', 'understanding', 'professionalism']"
dd_11553,friend,"You are an experienced camper and always ensure to be aware of your surroundings. During a camping trip, you notice a fe",Confront the Camper,Clean Up Yourself,"['courage', 'honesty', 'respect for nature', 'responsibility', 'peace', 'respect"
dd_17792,friend,"You and your partner are seasoned mountain climbers. During a climb, your partner gets injured, and you have the choice ",Leave partner behind to seek help,Stay with injured partner,"['courage', 'trust', 'responsibility', 'hope']"
dd_20431,friend,"You are a passionate rollerblader and have been using your best friend's rollerblades for months now. One day, you find ",Save up and buy your own pair,Continue using your friend's rollerblades,"['responsibility', 'independence', 'diligence', 'respect for property', 'honesty"
dd_45919,friend,It's a sweltering day and the public pool is crowded with people trying to escape the heat. You notice a group of kids s,Reporting the Kids,Ignoring it,"['integrity', 'respect for rules', 'fairness', 'safety', 'responsibility']"
dd_25698,issue_crime_addiction,John's best friend has become dependent on drugs and is causing harm to himself and others. John feels that his friend's,Support his friend,Stop supporting his friend,"['compassion', 'respect for life', 'empathy', 'love']"
dd_14325,issue_crime_addiction,John has been struggling with sex addiction for a few years now. He has recently started a new relationship and is unsur,Disclose addiction,Conceal addiction,"['honesty', 'trust', 'understanding']"
dd_42185,issue_crime_addiction,You've recently developed a potentially harmful addiction to alcohol. You're afraid of worrying or disappointing your pa,Continue hiding your addiction,Confess and seek their support,"['honesty', 'responsibility', 'trust', 'transparency']"
dd_24408,issue_crime_addiction,"Your friend, John, is struggling with substance abuse. You've been told that sometimes people need to hit rock bottom be",Intervene,Do Not Intervene,"['empathy', 'trust', 'hope', 'professionalism']"
dd_23322,issue_crime_addiction,Your sister has been stealing money from your parents' savings without their knowledge. You discover this by accident an,Confronting the sister,Not reporting to parents,"['honesty', 'accountability', 'trust', 'peace of mind']"
dd_37404,issue_crime_addiction,You are the best friend of a person struggling with substance abuse. Your friend has confided in you about their addicti,To Inform,Not to Inform,"['honesty', 'responsibility', 'trust', 'health', 'love', 'support', 'honesty', '"
dd_37016,issue_personal_career,"You have always dreamed of becoming a musician and have finally made it big. However, your music is promoting negative b",Continue making the music,Change your music style,"['enjoyment', 'profit', 'truth', 'justice']"
dd_5070,issue_personal_career,"You've been taking guitar lessons for months, but don't seem to be improving at all. Your instructor, a professional mus",Confronting your instructor,Not Confronting your instructor,"['honesty', 'self', 'professional integrity', 'economic stability']"
dd_35542,issue_personal_career,John is a talented young musician who is considering dropping out of school to pursue a music career. His parents are su,Discourage John,Not Discourage John,"['respect for autonomy', 'truthfulness']"
dd_17165,issue_personal_career,You are an artist who believes in the diverse representation of people in art. You're commissioned to paint a portrait f,Compromise beliefs,Refuse commission,"['satisfaction', 'disappointment']"
dd_6420,issue_personal_career,"You have recently discovered a passion for painting, but you are currently in a stable, high-paying job. However, pursui",Quitting Job to Pursue Painting,Continuing with Current Job,"['honesty', 'support', 'trust']"
dd_5824,issue_personal_career,John is a skilled painter who has been supporting himself through his artwork. His parents believe that he should get a ,Abandoning Art,Sticking to Art,"['self', 'productivity', 'empathy', 'conformity']"
dd_0922,issue_pregnancy,You are a close friend of a woman who is about to give birth and she has asked you to be present in the delivery room. H,Accepting the request,Denying the request,"['professional integrity', 'trust', 'teamwork']"
dd_10361,issue_pregnancy,Your adult child has a baby but chooses not to tell you about your grandchild due to conflicts in your relationship. You,Reach out,Keep your distance,"['communication', 'respect for privacy', 'harmony']"
dd_23530,issue_pregnancy,A newlywed couple is discussing whether the wife should take her husband's last name. The husband wants her to take his ,Take Husband's Last Name,Maintain Her Own Name,"['professional integrity', 'self', 'respect', 'unity', 'reliability', 'trust']"
dd_33409,issue_pregnancy,"Sarah and John are having a baby together, but they are not married. While Sarah wants to get married for the sake of th",Marry Sarah,Not Marry Sarah,"['stability', 'emotional security', 'respect for tradition']"
dd_10450,issue_pregnancy,"You've always been close with your child's ex-partner, maintaining a friendly relationship even after they broke up. Rec",Confront the ex-partner,Not confronting the ex-partner,"['honesty', 'courage', 'assertiveness', 'partner', 'partner', 'partner', 'empath"
dd_29184,issue_pregnancy,"Your best friend just had their first child and is excited to introduce the baby to you. However, you have a severe phob",Confronting Fear,Avoiding the Situation,"['courage', 'understanding', 'support', 'patience']"
dd_24541,issue_self_image_social,"As a popular online influencer, John often shares his personal opinions on various issues. Recently, he started spreadin",Continue to support John,Unsubscribe from John's content,"['accountability', 'responsibility']"
dd_14557,issue_self_image_social,"A fashion magazine has been mostly featuring models of majority race. Recently, they have received backlash for not cons",Incorporate diversity in model selection.,Continue featuring models of majority race.,"['inclusion', 'validation']"
dd_24405,issue_self_image_social,"You enjoy engaging with others on social media by posting random things. One day, you find a picture of a high school cl",Post the picture,Not post the picture,"['respect for others', 'dignity', 'fairness', 'loyalty']"
dd_28341,issue_self_image_social,"In a virtual world, everyone can create personas as they wish. Charlie uses this freedom to create a persona that mocks ",Intervene,Not Intervene,"['freedom of expression', 'freedom of speech']"
dd_39199,issue_self_image_social,You're a hair stylist and a regular client comes in with hair that often falls into their eyes. They've mentioned in pas,Suggest a different haircut,Not suggesting a different haircut,"['professionalism', 'autonomy', 'cooperation', 'responsibility']"
dd_27271,issue_self_image_social,"Deleting your social media accounts can sometimes provide much needed peace of mind and privacy. However, it also means ",Deleting Social Media Accounts,Not Deleting Social Media Accounts,"['self', 'privacy']"
dd_25109,issue_wildlife_human_environment,"As a doctor, you're in charge of a clinical trial for a new drug. During the trial, you notice that the drug is having u",Continue the trial,Stop the trial,"['respect for autonomy', 'professionalism', 'trustworthiness', 'empathy', 'accou"
dd_18935,issue_wildlife_human_environment,"You're a vegan who believes in causing no harm to any living beings, including fleas. While picking fleas off your dog, ",Kill the fleas,Let the fleas live,['respect for life']
dd_14818,issue_wildlife_human_environment,"You have a large dog that loves playing in the rain. However, your neighbor is complaining that your dog is ruining thei",Keeping the dog indoors,Letting the dog play outside,"['responsibility', 'consideration']"
dd_12896,issue_wildlife_human_environment,A family has a dog that has been with their child since he was born. The dog has recently started to show aggressive beh,Separate the child from the dog,Not separate the child from the dog,"['emotional stability', 'responsibility']"
dd_49700,issue_wildlife_human_environment,You are watching a documentary about animal cruelty in farming industries. The documentary has deeply saddened you and y,Share the documentary,Don't share the documentary,"['courage', 'honesty', ""respect for others' feelings"", 'compassion', 'justice', "
dd_24304,issue_wildlife_human_environment,"You've always loved animals and have the means to care for a pet. However, you're aware of the ethical implications of p",Adopt a rescue pet,Buy from a reputable breeder,"['compassion', 'right to life', 'animal welfare', 'professionalism']"
dd_48898,issue_young_people,"A parent realizes their teenager is spending an excessive amount of time playing video games, which is affecting their s",Intervene and Limit Gaming Time,No Intervention,"['responsibility', 'freedom', 'duty', 'understanding']"
dd_47246,issue_young_people,"You are a sports fan who has always believed in dressing comfortably for games. At a recent basketball match, you notice",Voicing the opinion,Not voicing the opinion,['respect for others']
dd_12936,issue_young_people,"You know that your relative's kids are really into a popular video game, but it contains violent content. You are unsure",Buying the game,Not buying the game,"['respect for autonomy', 'right to safety']"
dd_30340,issue_young_people,"You're in the middle of an online gaming tournament that you've been preparing for weeks. Your roommate, who has had a t",Pausing the game,Continue playing,"['empathy', 'gratitude', 'teamwork']"
dd_2288,issue_young_people,You're a professional athlete who has been playing through a minor injury. Your team is on the verge of winning a champi,Continue playing,Prioritize health,"['resilience', 'determination', 'perseverance', 'professional integrity', 'suppo"
dd_37725,issue_young_people,Your child has just won an important sports competition and you want to share the news with the extended family. However,Share the news,Not share the news,"['honesty', 'courage', 'respect', 'recognition', 'team spirit']"
dd_48722,religion_custom,"The school gymnasium has been chosen as the venue for a funeral due to its large capacity and availability. However, som",Proceed with the Funeral in the Gymnasium,Find Another Venue,"['respect for feelings', 'transparency', 'accountability']"
dd_42468,religion_custom,"In modern pop culture, there is a prevalent trend of idolizing women with prominent backside features. Jane, a fitness i",Change Fitness Program,Not Change Fitness Program,"['professional integrity', 'financial stability', 'health', 'satisfaction', 'com"
dd_29978,religion_custom,You are a closeted gay man living in a highly conservative society. You have finally found love but your partner wants t,Coming out,Not coming out,"['honesty', 'authenticity', 'courage', 'love', 'support', 'acceptance', 'underst"
dd_20717,religion_custom,Sarah is a leader who believes in committing to her words. She promised her team they'd have a vacation if they met the ,Honor her promise,Break her promise,"['integrity', 'trust', 'financial stability', 'security']"
dd_3811,religion_custom,The church has been following the same traditional worship practices for many years. The new pastor wants to introduce c,Introduce contemporary worship styles,Maintain traditional worship practices,"['innovation', 'respect for tradition', 'harmony', 'tolerance']"
dd_28550,religion_custom,"During confession, a priest is bound by the seal of confession to keep all matters confidential. One day, a parishioner ",Break the seal of confession,Maintain the seal of confession,"['integrity', 'justice', 'trust', 'trust', 'justice', 'safety']"
dd_26556,role_duty_responsibility,A woman's husband has been diagnosed with a highly contagious disease that could be fatal to their children. She is torn,Isolate the Husband,Not Isolate the Husband,"['protection', 'dignity', 'safety', 'understanding', 'professionalism']"
dd_15538,role_duty_responsibility,"A professional journalist is honing her investigative skills. In her pursuit, she uncovers secret governmental misconduc",Revealing the misconduct,Not revealing the misconduct,"['truthfulness', 'accountability', 'right to know', 'stability', 'vigilance']"
dd_30143,role_duty_responsibility,You are a doctor and you feel uncertain about a patient's diagnosis. You have always been taught to be sure before infor,Inform the patient about the uncertainty,Wait until completely sure,"['honesty', 'responsibility', 'right to information', 'trust', 'professionalism'"
dd_42112,role_duty_responsibility,"As a researcher for a news organization, you frequently use the internet to gather information for your articles. You st",Use the leaked document,Refrain from using the document,"['truthfulness', 'courage', 'integrity', 'accountability', 'right to information"
dd_29132,role_duty_responsibility,"Sarah has struggled with unhealthy eating habits for years, often resorting to fast food and sugary snacks. Her best fri",Confront Sarah about her unhealthy eating habits.,Not confront Sarah about her unhealthy eating habits.,"['honesty', 'courage', 'autonomy', 'dignity', 'love', 'empathy']"
dd_2068,role_duty_responsibility,"A couple, both doctors, are aware of the severe health risks of smoking. They discover their teenager has started smokin",Misleading their son about the dangers of smoking,Not misleading their son about the dangers of smoking,"['honesty', 'right to accurate information']"
dd_12219,school,You are a high school student struggling with a personal issue. Your best friend has confided in you about their own sim,Break Trust,Keep Secret,"['personal integrity', 'trust', 'responsibility', 'love', 'loyalty']"
dd_42860,school,"After years of dealing with a school bully, you've finally gained some confidence and the power to stand up for yourself",Retaliation,Ignoring,"['courage', 'fear', 'responsibility', 'discipline', 'justice', 'concern', 'disci"
dd_25448,school,John is a political science teacher at a local college. He enjoys challenging his students' beliefs to stimulate critica,Continue challenging students' beliefs,Modify teaching methods,"['freedom of speech', 'respect', 'accountability']"
dd_9357,school,John is a college student who tends to procrastinate until the last minute. He finds a completed assignment online that ,Submit the completed assignment as his own,Submit his own incomplete work,"['honesty', 'fairness', 'integrity', 'accountability']"
dd_29465,school,"John, a physically weak person, is being bullied at school. He knows fighting back would only escalate the situation but",Fighting back,Enduring the bullying,"['self', 'respect for others', 'fairness', 'love', 'responsibility']"
dd_19968,workplace,John is a middle manager at a large corporation and is content with his position. He is offered a promotion with a signi,Accepting the promotion,Declining the promotion,"['ambition', 'financial security', 'leadership', 'cooperation', 'understanding',"
dd_35156,workplace,You work in a small company where everyone's contribution is significant. You have a contagious flu but an important pro,Going to work with a contagious flu,Calling in sick,"['responsibility', 'endurance', 'health', 'safety', 'profitability', 'reliabilit"
dd_37490,workplace,You are a manager at a large corporation and are upset with a member of the executive team who has repeatedly undermined,Address Anger with the Executive,Continue to Unfairly Take it Out on Junior Employee,"['honesty', 'respect', 'transparency', 'trust']"
dd_30352,workplace,You are working at a corporate job that pays well but is draining your happiness and mental health. The job provides fin,Continue Working,Quit Job,"['perseverance', 'responsibility', 'dependability', 'care']"
dd_14845,workplace,"You are a project manager and have made a plan to complete a project within a specific time frame. However, one of your ",Stick to the Plan,Delay the Project,"['responsibility', 'empathy', 'cooperation', 'integrity', 'financial responsibil"
